# HELP UNIQUE_ID_SYSTEM Unique ID for the system
# TYPE UNIQUE_ID_SYSTEM gauge
UNIQUE_ID_SYSTEM{uuid="3ae8300b-eee9-4237-8b27-e9e9eef00304"} 1
# HELP active_proccess_list Total number of active proccesses
# TYPE active_proccess_list gauge
active_proccess_list 278
# HELP active_proccess_memory_usage Memory usage for each active proccess
# TYPE active_proccess_memory_usage gauge
active_proccess_memory_usage{pid="10128",process="PhoneExperienceHost.exe"} 139.4140625
active_proccess_memory_usage{pid="10128",process="RuntimeBroker.exe"} 8.55078125
active_proccess_memory_usage{pid="10128",process="TrustedInstaller.exe"} 7.6015625
active_proccess_memory_usage{pid="10128",process="Up2Date.exe"} 23.54296875
active_proccess_memory_usage{pid="10128",process="backgroundTaskHost.exe"} 12.859375
active_proccess_memory_usage{pid="10128",process="dllhost.exe"} 7.45703125
active_proccess_memory_usage{pid="10128",process="svchost.exe"} 8.38671875
active_proccess_memory_usage{pid="10128",process="updater.exe"} 10.03125
active_proccess_memory_usage{pid="10132",process="FileCoAuth.exe"} 16.19140625
active_proccess_memory_usage{pid="10132",process="TiWorker.exe"} 11.796875
active_proccess_memory_usage{pid="10132",process="postgres.exe"} 14.1015625
active_proccess_memory_usage{pid="10132",process="svchost.exe"} 21.37109375
active_proccess_memory_usage{pid="10132",process="updater.exe"} 12.33203125
active_proccess_memory_usage{pid="10136",process="MoUsoCoreWorker.exe"} 14.94140625
active_proccess_memory_usage{pid="10136",process="RuntimeBroker.exe"} 10.296875
active_proccess_memory_usage{pid="10136",process="SDXHelper.exe"} 22.92578125
active_proccess_memory_usage{pid="10136",process="TrustedInstaller.exe"} 7.73046875
active_proccess_memory_usage{pid="10136",process="backgroundTaskHost.exe"} 12.76953125
active_proccess_memory_usage{pid="10136",process="dllhost.exe"} 7.45703125
active_proccess_memory_usage{pid="10136",process="postgres.exe"} 14.18359375
active_proccess_memory_usage{pid="10136",process="svchost.exe"} 19.33984375
active_proccess_memory_usage{pid="10136",process="updater.exe"} 9.3984375
active_proccess_memory_usage{pid="10140",process="FileCoAuth.exe"} 16.09765625
active_proccess_memory_usage{pid="10140",process="TiWorker.exe"} 11.00390625
active_proccess_memory_usage{pid="10140",process="TrustedInstaller.exe"} 7.66015625
active_proccess_memory_usage{pid="10140",process="postgres.exe"} 15.37109375
active_proccess_memory_usage{pid="10140",process="svchost.exe"} 17.390625
active_proccess_memory_usage{pid="10140",process="taskhostw.exe"} 13.4921875
active_proccess_memory_usage{pid="10144",process="TiWorker.exe"} 11.18359375
active_proccess_memory_usage{pid="10144",process="TrustedInstaller.exe"} 7.6875
active_proccess_memory_usage{pid="10144",process="WmiApSrv.exe"} 9.44140625
active_proccess_memory_usage{pid="10144",process="audiodg.exe"} 11.75
active_proccess_memory_usage{pid="10144",process="conhost.exe"} 13.0859375
active_proccess_memory_usage{pid="10144",process="dllhost.exe"} 8.9453125
active_proccess_memory_usage{pid="10144",process="postgres.exe"} 15.34765625
active_proccess_memory_usage{pid="10144",process="svchost.exe"} 7.76953125
active_proccess_memory_usage{pid="10148",process="FileCoAuth.exe"} 16.28125
active_proccess_memory_usage{pid="10148",process="TrustedInstaller.exe"} 7.72265625
active_proccess_memory_usage{pid="10148",process="backgroundTaskHost.exe"} 12.859375
active_proccess_memory_usage{pid="10148",process="ksnproxy.exe"} 26.60546875
active_proccess_memory_usage{pid="10148",process="postgres.exe"} 15.71484375
active_proccess_memory_usage{pid="10148",process="svchost.exe"} 7.77734375
active_proccess_memory_usage{pid="10148",process="updater.exe"} 13.23828125
active_proccess_memory_usage{pid="10152",process="MpSigStub.exe"} 7.84375
active_proccess_memory_usage{pid="10152",process="PhoneExperienceHost.exe"} 141.625
active_proccess_memory_usage{pid="10152",process="RuntimeBroker.exe"} 10.296875
active_proccess_memory_usage{pid="10152",process="TiWorker.exe"} 11.171875
active_proccess_memory_usage{pid="10152",process="TrustedInstaller.exe"} 7.671875
active_proccess_memory_usage{pid="10152",process="WmiApSrv.exe"} 9.44140625
active_proccess_memory_usage{pid="10152",process="backgroundTaskHost.exe"} 12.7734375
active_proccess_memory_usage{pid="10152",process="dllhost.exe"} 7.4921875
active_proccess_memory_usage{pid="10152",process="postgres.exe"} 14.4453125
active_proccess_memory_usage{pid="10152",process="setup.exe"} 5.2734375
active_proccess_memory_usage{pid="10152",process="svchost.exe"} 7.6875
active_proccess_memory_usage{pid="10152",process="updater.exe"} 8.32421875
active_proccess_memory_usage{pid="10156",process="FileCoAuth.exe"} 16.1796875
active_proccess_memory_usage{pid="10156",process="MoUsoCoreWorker.exe"} 14.9765625
active_proccess_memory_usage{pid="10156",process="RuntimeBroker.exe"} 8.61328125
active_proccess_memory_usage{pid="10156",process="TiWorker.exe"} 30.44921875
active_proccess_memory_usage{pid="10156",process="WmiApSrv.exe"} 9.43359375
active_proccess_memory_usage{pid="10156",process="backgroundTaskHost.exe"} 10.38671875
active_proccess_memory_usage{pid="10156",process="conhost.exe"} 8.05078125
active_proccess_memory_usage{pid="10156",process="dllhost.exe"} 7.46875
active_proccess_memory_usage{pid="10156",process="postgres.exe"} 15.66796875
active_proccess_memory_usage{pid="10156",process="svchost.exe"} 14.33984375
active_proccess_memory_usage{pid="10156",process="updater.exe"} 12.41015625
active_proccess_memory_usage{pid="1016",process="svchost.exe"} 6.2578125
active_proccess_memory_usage{pid="10160",process="OneDriveStandaloneUpdater.exe"} 19.46484375
active_proccess_memory_usage{pid="10160",process="RuntimeBroker.exe"} 10.30078125
active_proccess_memory_usage{pid="10160",process="SDXHelper.exe"} 23.02734375
active_proccess_memory_usage{pid="10160",process="TiWorker.exe"} 11.23046875
active_proccess_memory_usage{pid="10160",process="TrustedInstaller.exe"} 7.68359375
active_proccess_memory_usage{pid="10160",process="Up2Date.exe"} 30.33203125
active_proccess_memory_usage{pid="10160",process="postgres.exe"} 14.09765625
active_proccess_memory_usage{pid="10160",process="svchost.exe"} 9.94140625
active_proccess_memory_usage{pid="10160",process="taskhostw.exe"} 28.3828125
active_proccess_memory_usage{pid="10164",process="MoUsoCoreWorker.exe"} 14.84765625
active_proccess_memory_usage{pid="10164",process="RuntimeBroker.exe"} 8.625
active_proccess_memory_usage{pid="10164",process="SearchProtocolHost.exe"} 14.4296875
active_proccess_memory_usage{pid="10164",process="TiWorker.exe"} 11.12890625
active_proccess_memory_usage{pid="10164",process="TrustedInstaller.exe"} 7.7265625
active_proccess_memory_usage{pid="10164",process="WmiApSrv.exe"} 9.4296875
active_proccess_memory_usage{pid="10164",process="backgroundTaskHost.exe"} 11.5078125
active_proccess_memory_usage{pid="10164",process="dllhost.exe"} 7.48828125
active_proccess_memory_usage{pid="10164",process="postgres.exe"} 14.10546875
active_proccess_memory_usage{pid="10164",process="smartscreen.exe"} 9.36328125
active_proccess_memory_usage{pid="10164",process="sppsvc.exe"} 13.03125
active_proccess_memory_usage{pid="10164",process="svchost.exe"} 8.39453125
active_proccess_memory_usage{pid="10164",process="updater.exe"} 10.0078125
active_proccess_memory_usage{pid="10168",process="FileCoAuth.exe"} 16.18359375
active_proccess_memory_usage{pid="10168",process="backgroundTaskHost.exe"} 17.484375
active_proccess_memory_usage{pid="10168",process="postgres.exe"} 14.1484375
active_proccess_memory_usage{pid="10168",process="svchost.exe"} 15.73828125
active_proccess_memory_usage{pid="10168",process="taskhostw.exe"} 7.7734375
active_proccess_memory_usage{pid="10168",process="updater.exe"} 12.87890625
active_proccess_memory_usage{pid="10172",process="FileCoAuth.exe"} 16.30078125
active_proccess_memory_usage{pid="10172",process="RuntimeBroker.exe"} 8.5703125
active_proccess_memory_usage{pid="10172",process="TiWorker.exe"} 30.43359375
active_proccess_memory_usage{pid="10172",process="WmiApSrv.exe"} 9.43359375
active_proccess_memory_usage{pid="10172",process="backgroundTaskHost.exe"} 12.859375
active_proccess_memory_usage{pid="10172",process="conhost.exe"} 14.03515625
active_proccess_memory_usage{pid="10172",process="dllhost.exe"} 7.44140625
active_proccess_memory_usage{pid="10172",process="postgres.exe"} 13.98046875
active_proccess_memory_usage{pid="10172",process="svchost.exe"} 7.1171875
active_proccess_memory_usage{pid="10172",process="updater.exe"} 13.31640625
active_proccess_memory_usage{pid="10176",process="FileCoAuth.exe"} 16.25
active_proccess_memory_usage{pid="10176",process="RuntimeBroker.exe"} 8.62890625
active_proccess_memory_usage{pid="10176",process="TiWorker.exe"} 11.19921875
active_proccess_memory_usage{pid="10176",process="TrustedInstaller.exe"} 7.70703125
active_proccess_memory_usage{pid="10176",process="backgroundTaskHost.exe"} 31.01171875
active_proccess_memory_usage{pid="10176",process="dllhost.exe"} 7.484375
active_proccess_memory_usage{pid="10176",process="ksnproxy.exe"} 22.75390625
active_proccess_memory_usage{pid="10176",process="postgres.exe"} 15.4921875
active_proccess_memory_usage{pid="10176",process="svchost.exe"} 22.0703125
active_proccess_memory_usage{pid="10176",process="updater.exe"} 9.80078125
active_proccess_memory_usage{pid="10180",process="FileCoAuth.exe"} 16.19921875
active_proccess_memory_usage{pid="10180",process="LogonUI.exe"} 87.89453125
active_proccess_memory_usage{pid="10180",process="RuntimeBroker.exe"} 8.58984375
active_proccess_memory_usage{pid="10180",process="backgroundTaskHost.exe"} 12.76171875
active_proccess_memory_usage{pid="10180",process="postgres.exe"} 13.5625
active_proccess_memory_usage{pid="10180",process="svchost.exe"} 17.16015625
active_proccess_memory_usage{pid="10184",process="WmiApSrv.exe"} 9.421875
active_proccess_memory_usage{pid="10184",process="backgroundTaskHost.exe"} 63.09765625
active_proccess_memory_usage{pid="10184",process="conhost.exe"} 13.09375
active_proccess_memory_usage{pid="10184",process="updater.exe"} 10.0078125
active_proccess_memory_usage{pid="10196",process="FileCoAuth.exe"} 16.1171875
active_proccess_memory_usage{pid="10196",process="LogonUI.exe"} 92.19140625
active_proccess_memory_usage{pid="10196",process="MoUsoCoreWorker.exe"} 14.953125
active_proccess_memory_usage{pid="10196",process="RuntimeBroker.exe"} 8.6328125
active_proccess_memory_usage{pid="10196",process="TiWorker.exe"} 30.48046875
active_proccess_memory_usage{pid="10196",process="TrustedInstaller.exe"} 7.70703125
active_proccess_memory_usage{pid="10196",process="backgroundTaskHost.exe"} 12.76171875
active_proccess_memory_usage{pid="10196",process="dllhost.exe"} 7.46875
active_proccess_memory_usage{pid="10196",process="postgres.exe"} 12.4609375
active_proccess_memory_usage{pid="10196",process="sppsvc.exe"} 13.03515625
active_proccess_memory_usage{pid="10196",process="svchost.exe"} 7.84765625
active_proccess_memory_usage{pid="10196",process="updater.exe"} 12.88671875
active_proccess_memory_usage{pid="10200",process="FileCoAuth.exe"} 16.26171875
active_proccess_memory_usage{pid="10200",process="RuntimeBroker.exe"} 10.28125
active_proccess_memory_usage{pid="10200",process="TiWorker.exe"} 11.22265625
active_proccess_memory_usage{pid="10200",process="TrustedInstaller.exe"} 7.70703125
active_proccess_memory_usage{pid="10200",process="Up2Date.exe"} 30.6484375
active_proccess_memory_usage{pid="10200",process="audiodg.exe"} 9.70703125
active_proccess_memory_usage{pid="10200",process="dllhost.exe"} 7.44921875
active_proccess_memory_usage{pid="10200",process="ksnproxy.exe"} 26.65625
active_proccess_memory_usage{pid="10200",process="postgres.exe"} 15.75
active_proccess_memory_usage{pid="10200",process="sppsvc.exe"} 13.0625
active_proccess_memory_usage{pid="10200",process="svchost.exe"} 7.7890625
active_proccess_memory_usage{pid="10200",process="updater.exe"} 12.4296875
active_proccess_memory_usage{pid="10204",process="FileCoAuth.exe"} 16.1015625
active_proccess_memory_usage{pid="10204",process="SDXHelper.exe"} 22.7890625
active_proccess_memory_usage{pid="10204",process="TiWorker.exe"} 11.23828125
active_proccess_memory_usage{pid="10204",process="TrustedInstaller.exe"} 7.7109375
active_proccess_memory_usage{pid="10204",process="WmiApSrv.exe"} 9.44140625
active_proccess_memory_usage{pid="10204",process="backgroundTaskHost.exe"} 12.765625
active_proccess_memory_usage{pid="10204",process="cleanmgr.exe"} 27.953125
active_proccess_memory_usage{pid="10204",process="postgres.exe"} 13.328125
